Estado,Ubicacion,Precio_MXN,Recamaras,Banos,Superficie_m2,URL_Propiedad,Latitud,Longitud,Direccion_Buscada
Aguascalientes,"Se vende casa en , Col. Santa Imelda, Aguascalientes, Aguascalientes, México, C.P. 20218, ID: 29607255",3600000.0,3.0,2.0,260.0,,,,
Aguascalientes,"Venta de casa CALLE CUESTA DE LA RIBERA 212 , Col. Flores Magón, Jesús María, Aguascalientes, México, C.P. 20923, ID: 28486791",301000.0,3.0,2.0,90.0,https://propiedades.com/inmuebles/casa-en-venta-calle-cuesta-de-la-ribera-212-flores-magon-aguascalientes-28486791,,,
Aguascalientes,"Venta de casa , Col. Alcázar Residencial, Jesús María, Aguascalientes, México, C.P. 20908, ID: 29701270",2480000.0,3.0,2.0,132.0,https://propiedades.com/inmuebles/casa-en-venta-alcazar-residencial-aguascalientes-29701270,,,
Aguascalientes,"Se vende casa en , Col. Lindavista, Aguascalientes, Aguascalientes, México, C.P. 20270, ID: 29607456",4700000.0,5.0,3.0,351.0,https://propiedades.com/inmuebles/casa-en-venta-lindavista-aguascalientes-29607456,,,
Aguascalientes,"Venta casa en , Col. Guadalupe, Aguascalientes, Aguascalientes, México, C.P. 20059, ID: 29607246",7010000.0,3.0,3.0,272.0,https://propiedades.com/inmuebles/casa-en-venta-guadalupe-aguascalientes-29607246,,,
Aguascalientes,"Venta casa en , Col. Campestre San Carlos, Pabellón de Arteaga, Aguascalientes, México, C.P. 20666, ID: 29607239",3500000.0,,,1140.0,https://propiedades.com/inmuebles/casa-en-venta-campestre-san-carlos-aguascalientes-29607239,,,
Aguascalientes,"Casa en venta disponible en , Col. Zona Militar, Aguascalientes, Aguascalientes, México, C.P. 20170, ID: 29607409",4775000.0,5.0,1.0,300.0,https://propiedades.com/inmuebles/casa-en-venta-zona-militar-aguascalientes-29607409,,,
Aguascalientes,"Se vende casa en , Col. Alcázar Residencial, Jesús María, Aguascalientes, México, C.P. 20908, ID: 29313310",4490000.0,3.0,3.0,266.0,https://propiedades.com/inmuebles/casa-en-venta-alcazar-residencial-aguascalientes-29313310,,,
Aguascalientes,"Casa en venta disponible en , Col. Trojes de Alonso, Aguascalientes, Aguascalientes, México, C.P. 20116, ID: 29607515",3090000.0,3.0,3.0,169.0,,,,
Aguascalientes,"Venta casa en , Col. Ex Hacienda Ojocaliente, Aguascalientes, Aguascalientes, México, C.P. 20198, ID: 29607352",2200000.0,3.0,2.0,135.0,https://propiedades.com/inmuebles/casa-en-venta-ex-hacienda-ojocaliente-aguascalientes-29607352,,,
Aguascalientes,"Se vende casa , Col. Viña Antigua, Jesús María, Aguascalientes, México, C.P. 20908, ID: 29607270",5690000.0,3.0,3.0,211.0,https://propiedades.com/inmuebles/casa-en-venta-vina-antigua-aguascalientes-29607270,,,
Aguascalientes,"Venta casa en , Col. Paseos de Aguascalientes, Jesús María, Aguascalientes, México, C.P. 20924, ID: 29607251",2183000.0,3.0,3.0,93.0,https://propiedades.com/inmuebles/casa-en-venta-paseos-de-aguascalientes-aguascalientes-29607251,,,
Aguascalientes,"Se vende casa en , Col. Paseos de Aguascalientes, Jesús María, Aguascalientes, México, C.P. 20924, ID: 29607252",2390000.0,3.0,3.0,103.0,https://propiedades.com/inmuebles/casa-en-venta-paseos-de-aguascalientes-aguascalientes-29607252,,,
Aguascalientes,"Se vende casa en , Col. Residencial Punta del Cielo, Aguascalientes, Aguascalientes, México, C.P. 20326, ID: 29607329",3800000.0,4.0,3.0,179.0,,,,
Aguascalientes,"Se vende casa en , Col. Pozo Bravo Norte, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 29607345",1650000.0,2.0,1.0,155.0,https://propiedades.com/inmuebles/casa-en-venta-pozo-bravo-norte-aguascalientes-29607345,,,
Aguascalientes,"Venta de casa , Col. Arboledas de Paso Blanco, Jesús María, Aguascalientes, México, C.P. 20924, ID: 29607344",1240000.0,2.0,1.0,87.0,,,,
Aguascalientes,"Casa en venta disponible en , Col. Valle del Campanario, Aguascalientes, Aguascalientes, México, C.P. 20118, ID: 29607393",8750000.0,4.0,5.0,400.0,,,,
Aguascalientes,"Casa disponible en venta en , Col. Luis Donaldo Colosio, Jesús María, Aguascalientes, México, C.P. 20928, ID: 29607276",1400000.0,3.0,1.0,94.0,https://propiedades.com/inmuebles/casa-en-venta-luis-donaldo-colosio-aguascalientes-29607276,,,
Aguascalientes,"Venta de casa Mariano Jiménez 837, Morelos II, 20298 Aguascalientes, Ags. #837, Col. Emiliano Zapata, Aguascalientes, Aguascalientes, México, C.P. 20298, ID: 30502972",500000.0,4.0,2.0,212.0,https://propiedades.com/inmuebles/casa-en-venta-mariano-jimenez-837-morelos-ii-20298-aguascalientes-ags-837-emiliano-zapata-aguascalientes-30502972,,,
