clave_estado,estado,clave_municipio,municipio,Total_Creditos,Total_Monto_MXN,Ticket_Promedio_MXN,Creditos_Mujer,Creditos_Hombre,Pct_Creditos_Mujeres
30,Veracruz de Ignacio de la Llave,064,Chumatlán,59,6055926.140000001,102642.82,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,065,Emiliano Zapata,7358,4261541736.273812,579171.21,3.0,6.0,33.33
30,Veracruz de Ignacio de la Llave,066,Espinal,847,101332035.49904,119636.41,5.0,4.0,55.56
30,Veracruz de Ignacio de la Llave,067,Filomeno Mata,330,8599147.83,26058.02,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,068,Fortín,5114,2281745878.136703,446176.35,22.0,20.0,52.38
30,Veracruz de Ignacio de la Llave,069,Gutiérrez Zamora,1068,186927238.7839752,175025.5,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,070,Hidalgotitlán,226,7966980.1024064,35252.12,32.0,37.0,46.38
30,Veracruz de Ignacio de la Llave,071,Huatusco,1347,325801477.0465632,241871.92,17.0,5.0,77.27
30,Veracruz de Ignacio de la Llave,072,Huayacocotla,571,55659589.3094,97477.39,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,073,Hueyapan de Ocampo,984,318831996.6410752,324016.26,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,074,Huiloapan de Cuauhtémoc,277,50855279.269572,183593.07,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,075,Ignacio de la Llave,255,40138245.6005112,157404.88,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,076,Ilamatlán,576,17302500.0,30039.06,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,077,Isla,1596,344222160.7715648,215678.05,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,078,Ixcatepec,211,9150843.5436192,43368.93,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,079,Ixhuacán de los Reyes,235,7520649.0478,32002.76,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,080,Ixhuatlán del Café,184,11717548.3754144,63682.33,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,081,Ixhuatlancillo,1444,503001510.3182208,348339.0,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,082,Ixhuatlán del Sureste,612,149915394.6740976,244959.8,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,083,Ixhuatlán de Madero,838,110243741.6235832,131555.78,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,084,Ixmatlahuacan,119,15029514.085397601,126298.44,19.0,9.0,67.86
30,Veracruz de Ignacio de la Llave,085,Ixtaczoquitlán,5423,1623560183.2294,299384.14,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,086,Jalacingo,753,54471967.8312808,72339.93,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,087,Xalapa,34572,15602962917.794575,451317.91,231.0,158.0,59.38
30,Veracruz de Ignacio de la Llave,088,Jalcomulco,72,3034603.875,42147.28,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,089,Jáltipan,1932,526606702.3905776,272570.76,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,090,Jamapa,250,67395325.7844936,269581.3,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,091,Jesús Carranza,419,98738113.957888,235651.82,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,092,Xico,904,275410909.0967424,304658.09,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,093,Jilotepec,621,52173365.6632536,84015.08,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,094,Juan Rodríguez Clara,1875,244742677.846576,130529.43,111.0,75.0,59.68
30,Veracruz de Ignacio de la Llave,095,Juchique de Ferrer,67,7840662.34,117024.81,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,096,Landero y Coss,28,1653600.0,59057.14,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,097,Lerdo de Tejada,1218,251762464.8140992,206701.53,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,098,Magdalena,30,224803.0,7493.43,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,099,Maltrata,203,9379584.1893744,46204.85,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,100,Manlio Fabio Altamirano,717,176157900.12274,245687.45,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,101,Mariano Escobedo,2543,822011673.4509872,323244.86,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,102,Martínez de la Torre,5887,1487374097.8409407,252654.0,161.0,106.0,60.3
30,Veracruz de Ignacio de la Llave,103,Mecatlán,258,15050377.613216,58334.8,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,104,Mecayapan,329,88253145.50786799,268246.64,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,105,Medellín de Bravo,19606,7876246593.273558,401726.34,53.0,48.0,52.48
30,Veracruz de Ignacio de la Llave,106,Miahuatlán,21,288125.2783,13720.25,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,107,Las Minas,10,2728967.4803008,272896.75,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,108,Minatitlán,9416,2078632646.6006632,220755.38,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,109,Misantla,1717,479099218.0022608,279032.74,91.0,73.0,55.49
30,Veracruz de Ignacio de la Llave,110,Mixtla de Altamirano,56,3518000.0,62821.43,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,111,Moloacán,721,137095322.5431768,190146.08,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,112,Naolinco,1995,541990245.4373528,271674.31,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,113,Naranjal,111,7794908.1943384,70224.4,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,114,Nautla,557,89345334.8850312,160404.55,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,115,Nogales,1448,388421043.9057368,268246.58,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,116,Oluta,1851,630436246.5622687,340592.25,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,117,Omealca,481,27110105.0586224,56361.96,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,118,Orizaba,7131,3239303228.033495,454256.52,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,119,Otatitlán,92,9596998.8383448,104315.2,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,120,Oteapan,434,11984802.777959201,27614.75,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,121,Ozuluama de Mascareñas,130,9031071.1305752,69469.78,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,122,Pajapan,121,16563439.5374984,136887.93,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,123,Pánuco,2399,774234387.3280752,322732.13,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,124,Papantla,4857,932782484.588272,192049.1,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,125,Paso del Macho,578,76136524.71450719,131724.09,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,126,Paso de Ovejas,896,228580717.6121696,255112.41,2.0,3.0,40.0
30,Veracruz de Ignacio de la Llave,127,La Perla,765,2625817.05,3432.44,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,128,Perote,3260,681249003.0507128,208972.09,20.0,16.0,55.56
30,Veracruz de Ignacio de la Llave,129,Platón Sánchez,411,57226506.2489912,139237.24,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,130,Playa Vicente,383,96570868.6991432,252143.26,68.0,50.0,57.63
30,Veracruz de Ignacio de la Llave,131,Poza Rica de Hidalgo,13350,5664861009.17504,424334.16,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,132,Las Vigas de Ramírez,468,40432206.9439616,86393.6,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,1346,362077751.2104272,269002.79,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,134,Puente Nacional,728,277646130.2149456,381382.05,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,135,Rafael Delgado,516,137520926.2138552,266513.42,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,136,Rafael Lucio,221,30241499.1971304,136839.36,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,137,Los Reyes,129,2200000.0,17054.26,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,138,Río Blanco,4042,1362196770.0159032,337010.58,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,139,Saltabarranca,267,51116032.3331296,191445.81,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,140,San Andrés Tenejapan,24,237328.0,9888.67,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,141,San Andrés Tuxtla,9679,1752290590.5976057,181040.46,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,142,San Juan Evangelista,560,126479547.8054312,225856.34,0.0,0.0,0.0
