Estado,Pagina_Extraida,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Coahuila,20,"$3,100,000
MXN","Los Viñedos, Torreón, Coah. #111, Col. Los Viñedos, Torreón, Coahuila de Zaragoza, México, C.P. 27023, ID: 30512965",2 Recámaras | 2 Baños | 112 m 2,https://propiedades.com/inmuebles/casa-en-venta-los-vinedos-torreon-coah-111-los-vinedos-coahuila-30512965#pagina=20&tipos=casas-venta&area=coahuila&pos=12
Coahuila,20,"$4,000,000
MXN","Se vende casa , Col. Villas de San Sebastián, Saltillo, Coahuila de Zaragoza, México, C.P. 25294, ID: 28775906",3 Recámaras | 3 Baños | 194 m 2,https://propiedades.com/inmuebles/casa-en-venta-villas-de-san-sebastian-coahuila-28775906#pagina=20&tipos=casas-venta&area=coahuila&pos=13
Coahuila,20,"$9,200,000
MXN","Se vende casa en , Col. San Patricio Plus, Saltillo, Coahuila de Zaragoza, México, C.P. 25204, ID: 28334777",4 Recámaras | 4 Baños | 399 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-patricio-plus-coahuila-28334777#pagina=20&tipos=casas-venta&area=coahuila&pos=14
Coahuila,20,"$12,100,000
MXN",", Col. Los Molinos, Saltillo, Coahuila de Zaragoza, México, C.P. 25298, ID: 29279145",3 Recámaras | 4 Baños | 595 m 2,https://propiedades.com/inmuebles/casa-en-venta-los-molinos-coahuila-29279145#pagina=20&tipos=casas-venta&area=coahuila&pos=15
Coahuila,20,"$2,100,000
MXN","Venta de casa Democracia 500 #500, Col. Bellavista, Saltillo, Coahuila de Zaragoza, México, C.P. 25060, ID: 29990221",4 Recámaras | 2 Baños | 240 m 2,https://propiedades.com/inmuebles/casa-en-venta-democracia-500-500-bellavista-coahuila-29990221#pagina=20&tipos=casas-venta&area=coahuila&pos=16
Coahuila,20,"$2,450,000
MXN","Casa en venta, Circuito Mario Pani 141, Ejido Ana, 27018 Torreón, Coah. #141, Col. Ampliación el Fresno, Torreón, Coahuila de Zaragoza, México, C.P. 27018, ID: 30560936",3 Recámaras | 2 Baños | 115 m 2,https://propiedades.com/inmuebles/casa-en-venta-circuito-mario-pani-141-ejido-ana-27018-torreon-coah-141-ampliacion-el-fresno-coahuila-30560936#pagina=20&tipos=casas-venta&area=coahuila&pos=17
Coahuila,20,"$2,650,000
MXN","Casa disponible en venta en Cerrada Alamo #s/n, Col. Residencial Palma Real, Torreón, Coahuila de Zaragoza, México, C.P. 27023, ID: 30149366",3 Recámaras | 3 Baños | 200 m 2,https://propiedades.com/inmuebles/casa-en-venta-cerrada-alamo-sn-residencial-palma-real-coahuila-30149366#pagina=20&tipos=casas-venta&area=coahuila&pos=18
Coahuila,20,"$1,065,000
MXN","Casa en venta, VENTA DE CASA EN CALLE LYON TORREÓN COAHUILA #4780, Col. Casa Blanca, Torreón, Coahuila de Zaragoza, México, C.P. 27265, ID: 30642354",3 Recámaras | 2 Baños | 120 m 2,https://propiedades.com/inmuebles/casa-en-venta-venta-de-casa-en-calle-lyon-torreon-coahuila-4780-casa-blanca-coahuila-30642354#pagina=20&tipos=casas-venta&area=coahuila&pos=19
Coahuila,20,"$1,850,000
MXN","Venta de casa Paseo de Las Ardillas #314, Col. Portal de las Lomas, Saltillo, Coahuila de Zaragoza, México, C.P. 25094, ID: 16908219",2 Recámaras | 1 Baño | 81 m 2,https://propiedades.com/inmuebles/casa-en-venta-paseo-de-las-ardillas-314-portal-de-las-lomas-coahuila-16908219#pagina=20&tipos=casas-venta&area=coahuila&pos=20
Coahuila,20,"$1,800,000
MXN","Casa en venta disponible en Las Torres #00, Col. Portales, Saltillo, Coahuila de Zaragoza, México, C.P. 25110, ID: 20011862",2 Recámaras | 1 Baño | 81 m 2,https://propiedades.com/inmuebles/casa-en-venta-las-torres-00-portales-coahuila-20011862#pagina=20&tipos=casas-venta&area=coahuila&pos=21
