Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Queretaro,1,2026-04-06 01:14,"$1,447,000 MXN","Casa disponible en venta en Estatal 200, 76138 Santiago de Querétaro, Qro., Col. Las Teresas, Querétaro, Querétaro, México, C.P. 76138, ID: 30334451",2 Recámaras | 1 Baño | 61 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-estatal-200-76138-santiago-de-queretaro-qro-las-teresas-queretaro-30334451
Queretaro,1,2026-04-06 01:14,"$4,699,000 MXN","Venta de casa en Av. Cardenal 12901, 76146 Nuevo Refugio, Qro., Col. La Ceiba, Querétaro, Querétaro, México, C.P. 76146, ID: 30230206",3 Recámaras | 4 Baños | 251 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-cardenal-12901-76146-nuevo-refugio-qro-la-ceiba-queretaro-30230206
Queretaro,1,2026-04-06 01:14,"$1,968,000 MXN","Venta casa en Leonardo Rodríguez A. 108 conquistadores, Santiago de Querétaro Querétaro CP 76121, Col. Conquistadores, Querétaro, Querétaro, México, C.P. 76121, ID: 30427536",3 Recámaras | 3 Baños | 109 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-leonardo-rodriguez-a-108-conquistadores-santiago-de-queretaro-queretaro-cp-76121-conquistadores-queretaro-30427536
Queretaro,1,2026-04-06 01:14,"$2,856,000 MXN","Avenida paseo de zakia poniente, Col. Zakia, El Marqués, Querétaro, México, C.P. 76269, ID: 30784625",3 Recámaras | 2 Baños | 119 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-avenida-paseo-de-zakia-poniente-zakia-queretaro-30784625
Queretaro,1,2026-04-06 01:14,"$1,708,000 MXN","Se vende casa LA CASA MARCADA CON EL NUMERO INTERIOR VEINTIUNO, UBICADA EN EL INMUEBLE SUJETO AL REGIMEN DE PROPIE, Col. Viñedos, Querétaro, Querétaro, México, C.P. 76235, ID: 30662177",2 Recámaras | 1 Baño | 77 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-la-casa-marcada-con-el-numero-interior-veintiuno-ubicada-en-el-inmueble-sujeto-al-regimen-de-propie-vinedos-queretaro-30662177
Queretaro,1,2026-04-06 01:14,"$1,647,300 MXN","Casa disponible en venta en LA CASA HABITACION MARCADA CON EL NUMERO 301 INTERIOR 11, DE LA CALLE CUARZO, CONSTRUIDA SOBRE EL LO, Col. Paseos del Pedregal, Querétaro, Querétaro, México, C.P. 76148, ID: 30639957",3 Recámaras | 1 Baño | 80 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-la-casa-habitacion-marcada-con-el-numero-301-interior-11-de-la-calle-cuarzo-construida-sobre-el-lo-paseos-del-pedregal-queretaro-30639957
Queretaro,1,2026-04-06 01:14,"$4,114,649 MXN","Se vende casa LA CASA HABITACIÓN MARCADA CON EL NÚMERO EXTERIOR 2032 DOS MIL TREINTA Y DOS, CONSTRUIDA SOBRE EL LO, Col. Loma Juriquilla, Querétaro, Querétaro, México, C.P. 76226, ID: 30815662",3 Recámaras | 4 Baños | 224 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-la-casa-habitacion-marcada-con-el-numero-exterior-2032-dos-mil-treinta-y-dos-construida-sobre-el-lo-loma-juriquilla-queretaro-30815662
Queretaro,1,2026-04-06 01:14,"$768,000 MXN","Casa disponible en venta en Sierra de las Cruces Oriente 60, Int 47, Hacienda la Cruz, El Marques, Querétaro, C.P.76267, Col. Hacienda la Cruz, El Marqués, Querétaro, México, C.P. 76267, ID: 30416913",2 Recámaras | 1 Baño | 35 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-sierra-de-las-cruces-oriente-60-int-47-hacienda-la-cruz-el-marques-queretaro-cp76267-hacienda-la-cruz-queretaro-30416913
Queretaro,1,2026-04-06 01:14,"$2,057,324 MXN","Se vende casa en La casa habitación marcada con el número 17 (diecisiete) del Condominio Habitacional de Tipo Popular, Col. Ciudad del Sol, Querétaro, Querétaro, México, C.P. 76116, ID: 30697308",2 Recámaras | 2 Baños | 84 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-la-casa-habitacion-marcada-con-el-numero-17-diecisiete-del-condominio-habitacional-de-tipo-popular-ciudad-del-sol-queretaro-30697308
Queretaro,1,2026-04-06 01:14,"$2,577,000 MXN","Se vende casa CASA HABITACION MARCADA CON EL NUMERO INTERIOR 78 SETENTA Y OCHO, SUJETA A REGIMEN DE PROPIEDAD EN C, Col. Tres Cantos Residencial, Querétaro, Querétaro, México, C.P. 76235, ID: 30775196",3 Recámaras | 2 Baños | 131 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-casa-habitacion-marcada-con-el-numero-interior-78-setenta-y-ocho-sujeta-a-regimen-de-propiedad-en-c-tres-cantos-residencial-queretaro-30775196
Queretaro,1,2026-04-06 01:14,"$2,761,147 MXN","Venta de casa Paseos de Zakia Poniente , Col. Zakia, El Marqués, Querétaro, México, C.P. 76269, ID: 30694101",3 Recámaras | 2 Baños | 111 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-paseos-de-zakia-poniente-zakia-queretaro-30694101
Queretaro,1,2026-04-06 01:14,"$4,590,000 MXN","Venta casa en CASA HABITACION MARCADA CON EL NUMERO INTERIOR A 50, SUJETA AL REGIMEN DE PROPIEDAD EN CONDOMINIO DE, Col. El Ranchito, Corregidora, Querétaro, México, C.P. 76923, ID: 30821942",3 Recámaras | 3 Baños | 297 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-casa-habitacion-marcada-con-el-numero-interior-a-50-sujeta-al-regimen-de-propiedad-en-condominio-de-el-ranchito-queretaro-30821942
Queretaro,1,2026-04-06 01:14,"$2,490,445 MXN","Venta de casa LA CASA HABITACIÓN MARCADA CON EL NÚMERO INTERIOR B 36 (B GUION TREINTA Y SEIS), SUJETA AL RÉGIMEN D, Col. Balvanera Polo y Country Club, Corregidora, Querétaro, México, C.P. 76915, ID: 30731091",2 Recámaras | 3 Baños | 79 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-la-casa-habitacion-marcada-con-el-numero-interior-b-36-b-guion-treinta-y-seis-sujeta-al-regimen-d-balvanera-polo-y-country-club-queretaro-30731091
Queretaro,1,2026-04-06 01:14,"$2,815,286 MXN","Venta casa en LA CASA HABITACIÓN MRCADA CON EL NUMERO 102, SUJETA A REGIMEN DE PROPIEDAD EN CONDOMINIO DENOMINADO , Col. Ciudad Marqués, El Marqués, Querétaro, México, C.P. 76246, ID: 30815531",3 Recámaras | 2 Baños | 113 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-la-casa-habitacion-mrcada-con-el-numero-102-sujeta-a-regimen-de-propiedad-en-condominio-denominado-ciudad-marques-queretaro-30815531
Queretaro,1,2026-04-06 01:14,"$1,938,000 MXN","CASA HABITACIÓN MARCADO CON EL NÚMERO INTERIOR 1 UNO, SUJETA AL RÉGIMEN DE PROPIEDAD EN CONDOMINIO D, Col. Real Solare, El Marqués, Querétaro, México, C.P. 76246, ID: 30815658",3 Recámaras | 1 Baño | 60 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-casa-habitacion-marcado-con-el-numero-interior-1-uno-sujeta-al-regimen-de-propiedad-en-condominio-d-real-solare-queretaro-30815658
Queretaro,1,2026-04-06 01:14,"$4,000,000 MXN","Paseo de Lavandas, Col. Zakia, El Marqués, Querétaro, México, C.P. 76269, ID: 30589422",3 Recámaras | 3 Baños | 146 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-paseo-de-lavandas-zakia-queretaro-30589422
Queretaro,1,2026-04-06 01:14,"$1,472,000 MXN","Venta casa en LA VIVIENDA MARCADA CON EL NÚMERO INTERIOR 13 TRECE, PERTENECIENTE AL CONJUNTO HABITACIONAL EN CONDO, Col. Ciudad del Sol Sección Valle de Santiago, Querétaro, Querétaro, México, C.P. 76116, ID: 30662178",3 Recámaras | 1 Baño | 62 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-la-vivienda-marcada-con-el-numero-interior-13-trece-perteneciente-al-conjunto-habitacional-en-condo-ciudad-del-sol-seccion-valle-de-santiago-queretaro-30662178
