Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Yucatan,953,2026-04-06 07:10,"$1,522,000 MXN","Venta de casa en fraccionamiento, Col. Villa Magna del Sur, Mérida, Yucatán, México, C.P. 97285, ID: 30791753",2 Recámaras | 1 Baño | 77 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-fraccionamiento-villa-magna-del-sur-yucatan-30791753
Yucatan,953,2026-04-06 07:10,"$5,150,000 MXN","sin nombre, Col. Cholul, Mérida, Yucatán, México, C.P. 97305, ID: 28109735",3 Recámaras | 3 Baños | 229 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-sin-nombre-cholul-yucatan-28109735
Yucatan,953,2026-04-06 07:10,"$2,285,000 MXN","Venta de casa , Col. Santa Gertrudis Copo, Mérida, Yucatán, México, C.P. 97305, ID: 11753953",3 Recámaras | 3 Baños | 253 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-santa-gertrudis-copo-yucatan-11753953
Yucatan,953,2026-04-06 07:10,"$6,400,000 MXN","CIRUELA, Col. Parque Natura, Mérida, Yucatán, México, C.P. 97305, ID: 30203541",4 Recámaras | 5 Baños | 306 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-ciruela-parque-natura-yucatan-30203541
Yucatan,953,2026-04-06 07:10,"$2,408,026 MXN","Venta casa en 21, Col. Chuburna de Hidalgo, Mérida, Yucatán, México, C.P. 97205, ID: 30098584",2 Recámaras | 2 Baños | 106 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-21-chuburna-de-hidalgo-yucatan-30098584
Yucatan,953,2026-04-06 07:10,"$2,350,000 MXN","Venta casa en , Col. Cholul, Mérida, Yucatán, México, C.P. 97305, ID: 11754329",3 Recámaras | 3 Baños | 230 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-cholul-yucatan-11754329
Yucatan,953,2026-04-06 07:10,"$4,750,000 MXN","Venta de casa , Col. Xcumpich, Mérida, Yucatán, México, C.P. 97204, ID: 30316012",4 Recámaras | 4 Baños | 287 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-xcumpich-yucatan-30316012
Yucatan,953,2026-04-06 07:10,"$12,750,000 MXN","Se vende casa , Col. Villas Del Sol, Mérida, Yucatán, México, C.P. 97118, ID: 28196267",3 Recámaras | 4 Baños | 591 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-villas-del-sol-yucatan-28196267
Yucatan,953,2026-04-06 07:10,"$9,000,000 MXN","21, Col. Itzimna, Mérida, Yucatán, México, C.P. 97100, ID: 28110062",3 Recámaras | 2 Baños | 198 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-21-itzimna-yucatan-28110062
Yucatan,953,2026-04-06 07:10,"$1,300,000 MXN","Se vende casa 0, Col. Merida Centro, Mérida, Yucatán, México, C.P. 97000, ID: 29888669",2 Recámaras | 1 Baño | 120 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-merida-centro-yucatan-29888669
Yucatan,953,2026-04-06 07:10,"$13,900,000 MXN","Casa disponible en venta en , Col. Chicxulub Puerto, Progreso, Yucatán, México, C.P. 97330, ID: 21599594",3 Recámaras | 3 Baños | 280 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-chicxulub-puerto-yucatan-21599594
Yucatan,953,2026-04-06 07:10,"$1,521,000 MXN","Se vende casa Col. Villas de Tixcacal, Mérida, Yucatán, México, C.P. 97246, ID: 30051002",2 Recámaras | 1 Baño | 89 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-villas-de-tixcacal-yucatan-30051002
Yucatan,953,2026-04-06 07:10,"$4,495,000 MXN","Casa en venta, 10, Col. Cholul, Mérida, Yucatán, México, C.P. 97305, ID: 30098167",4 Recámaras | 4 Baños | 210 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-10-cholul-yucatan-30098167
Yucatan,953,2026-04-06 07:10,"$26,000,000 MXN","Venta de casa en , Col. Yucatán Country Club, Mérida, Yucatán, México, C.P. 97308, ID: 30284432",4 Recámaras | 4 Baños | 750 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-yucatan-country-club-yucatan-30284432
Yucatan,953,2026-04-06 07:10,"$3,485,000 MXN","Se vende casa , Col. Cholul, Mérida, Yucatán, México, C.P. 97305, ID: 30443247",3 Recámaras | 3 Baños | 164 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-cholul-yucatan-30443247
Yucatan,953,2026-04-06 07:10,"$5,300,000 MXN","Venta de casa en 0, Col. Nuevo Yucatán, Mérida, Yucatán, México, C.P. 97147, ID: 25117900",5 Recámaras | 5 Baños | 301 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-nuevo-yucatan-yucatan-25117900
Yucatan,953,2026-04-06 07:10,"$8,500,000 MXN","Casa en venta, Miguel Aleman, Col. Miguel Alemán, Mérida, Yucatán, México, C.P. 97148, ID: 28022190",4 Recámaras | 4 Baños | 590 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-miguel-aleman-miguel-aleman-yucatan-28022190
Yucatan,953,2026-04-06 07:10,"$1,900,000 MXN","Venta de casa Calle 59, Col. Pacabtun, Mérida, Yucatán, México, C.P. 97160, ID: 30419996",3 Recámaras | 2 Baños | 169 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-59-pacabtun-yucatan-30419996
Yucatan,953,2026-04-06 07:10,"$5,300,000 MXN","Casa en venta disponible en 0, Col. Temozon Norte, Mérida, Yucatán, México, C.P. 97302, ID: 29888670",3 Recámaras | 3 Baños | 223 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-temozon-norte-yucatan-29888670
Yucatan,953,2026-04-06 07:10,"$5,770,000 MXN",", Col. Cholul, Mérida, Yucatán, México, C.P. 97305, ID: 30711145",3 Recámaras | 3 Baños | 243 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-cholul-yucatan-30711145
Yucatan,953,2026-04-06 07:10,"$3,450,000 MXN","Se vende casa en 0, Col. Dzitya, Mérida, Yucatán, México, C.P. 97302, ID: 26938248",2 Recámaras | 2 Baños | 175 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-dzitya-yucatan-26938248
Yucatan,953,2026-04-06 07:10,"$4,550,000 MXN","Casa disponible en venta en , Col. Dzitya, Mérida, Yucatán, México, C.P. 97302, ID: 29907938",3 Recámaras | 2 Baños | 228 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-dzitya-yucatan-29907938
Yucatan,953,2026-04-06 07:10,"$2,200,000 MXN","Casa en venta, , Col. Emilio Portes Gil, Mérida, Yucatán, México, C.P. 97167, ID: 30301609",2 Recámaras | 1 Baño | 203 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-emilio-portes-gil-yucatan-30301609
Yucatan,953,2026-04-06 07:10,"$2,650,000 MXN",", Col. Dzitya, Mérida, Yucatán, México, C.P. 97302, ID: 25104360",3 Recámaras | 165 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-dzitya-yucatan-25104360
Yucatan,953,2026-04-06 07:10,"$1,850,000 MXN","Casa en venta disponible en Las Americas, Col. Las Américas, Mérida, Yucatán, México, C.P. 97302, ID: 29074140",2 Recámaras | 2 Baños | 76 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-las-americas-las-americas-yucatan-29074140
Yucatan,953,2026-04-06 07:10,"$1,200,000 MXN","Venta de casa , Col. Vega del Mayab, Conkal, Yucatán, México, C.P. 97346, ID: 30244093",2 Recámaras | 1 Baño | 42 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-vega-del-mayab-yucatan-30244093
Yucatan,953,2026-04-06 07:10,"$2,500,000 MXN","Casa en venta, , Col. Ciudad Caucel, Mérida, Yucatán, México, C.P. 97314, ID: 29777917",3 Recámaras | 1 Baño | 196 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-ciudad-caucel-yucatan-29777917
Yucatan,953,2026-04-06 07:10,"$1,500,000 MXN","Se vende casa en COLONIA DOLORES OTERO MERIDA 12, Col. Dolores Otero, Mérida, Yucatán, México, C.P. 97270, ID: 29762651",2 Recámaras | 2 Baños | 250 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-colonia-dolores-otero-merida-12-dolores-otero-yucatan-29762651
Yucatan,953,2026-04-06 07:10,"$19,000,000 MXN","Venta de casa en 0, Col. Montes de Ame, Mérida, Yucatán, México, C.P. 97115, ID: 30393710",5 Recámaras | 7 Baños | 489 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-montes-de-ame-yucatan-30393710
Yucatan,953,2026-04-06 07:10,"$10,500,000 MXN","Casa disponible en venta en ., Col. Montes de Ame, Mérida, Yucatán, México, C.P. 97115, ID: 27138413",3 Recámaras | 3 Baños | 275 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-montes-de-ame-yucatan-27138413
Yucatan,953,2026-04-06 07:10,"$5,100,000 MXN","CALLE 7 POR 182, Col. Chuburna Puerto, Progreso, Yucatán, México, C.P. 97336, ID: 29377815",2 Recámaras | 2 Baños | 116 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-7-por-182-chuburna-puerto-yucatan-29377815
Yucatan,953,2026-04-06 07:10,"$8,790,000 MXN","Venta de casa , Col. Komchen, Mérida, Yucatán, México, C.P. 97302, ID: 30129868",4 Recámaras | 4 Baños | 350 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-komchen-yucatan-30129868
Yucatan,953,2026-04-06 07:10,"$3,990,000 MXN","., Col. Benito Juárez Ote, Mérida, Yucatán, México, C.P. 97178, ID: 30243212",2 Recámaras | 2 Baños | 147 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-benito-juarez-ote-yucatan-30243212
