Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Estado De Mexico,24,,"$17,500,000 MXN","Venta de casa Chiluca, Col. Chiluca, Atizapán de Zaragoza, México, México, C.P. 52930, ID: 29835007",4 Recámaras | 4 Baños | 449 m 2,https://propiedades.com/inmuebles/casa-en-venta-chiluca-chiluca-mexico-29835007
Estado De Mexico,24,,"$15,900,000 MXN","Conjunto Urbano Condado del Valle, Col. San Miguel Totocuitlapilco, Metepec, México, México, C.P. 52143, ID: 28942147",3 Recámaras | 3 Baños | 497 m 2,https://propiedades.com/inmuebles/casa-en-venta-conjunto-urbano-condado-del-valle-san-miguel-totocuitlapilco-mexico-28942147
Estado De Mexico,24,,"$7,200,000 MXN","Se vende casa nebula, Col. Nuevo Madin, Atizapán de Zaragoza, México, México, C.P. 52989, ID: 30553805",2 Recámaras | 5 Baños | 240 m 2,https://propiedades.com/inmuebles/casa-en-venta-nebula-nuevo-madin-mexico-30553805
Estado De Mexico,24,,"$2,491,000 MXN","Se vende casa Calle Vicente Guerrero, San Francisco Tepojaco, 54745 Cuautitlán Izcalli, Méx. #20, Col. Los Ailes, Cuautitlán Izcalli, México, México, C.P. 54745, ID: 30857952",4 Recámaras | 2 Baños | 180 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-vicente-guerrero-san-francisco-tepojaco-54745-cuautitlan-izcalli-mex-20-los-ailes-mexico-30857952
Estado De Mexico,24,,"$44,900,000 MXN","Venta de casa Blvd rancho San Juan #s/n, Col. Rancho San Juan, Atizapán de Zaragoza, México, México, C.P. 52938, ID: 30133609",4 Recámaras | 8 Baños | 1045 m 2,https://propiedades.com/inmuebles/casa-en-venta-blvd-rancho-san-juan-sn-rancho-san-juan-mexico-30133609
Estado De Mexico,24,,"$27,000,000 MXN","Casa en venta, Torre de Támesis, Condado de Sayavedra, 52938 Cdad. López Mateos, Méx., Col. Condado de Sayavedra, Atizapán de Zaragoza, México, México, C.P. 52938, ID: 30290559",6 Recámaras | 6 Baños | 879 m 2,https://propiedades.com/inmuebles/casa-en-venta-torre-de-tamesis-condado-de-sayavedra-52938-cdad-lopez-mateos-mex-condado-de-sayavedra-mexico-30290559
Estado De Mexico,24,,"$11,000,000 MXN","Venta de casa en BOSQUE DEL MOLINO, Col. Bosques de la Herradura, Huixquilucan, México, México, C.P. 52783, ID: 30158409",3 Recámaras | 5 Baños | 470 m 2,https://propiedades.com/inmuebles/casa-en-venta-bosque-del-molino-bosques-de-la-herradura-mexico-30158409
Estado De Mexico,24,,"$18,800,000 MXN","Casa en venta disponible en El Rosario, Club de Golf Hacienda, 52959 Cdad. López Mateos, Méx., Col. Club de Golf Hacienda, Atizapán de Zaragoza, México, México, C.P. 52959, ID: 30236080",3 Recámaras | 2 Baños | 430 m 2,
Estado De Mexico,24,,"$6,900,000 MXN","Venta de casa ÁNGELES Jardín y alberca para disfrutar, Col. Ixtapan de la Sal, Ixtapan de la Sal, México, México, C.P. 51900, ID: 28804405",3 Recámaras | 3 Baños | 290 m 2,https://propiedades.com/inmuebles/casa-en-venta-angeles-jardin-y-alberca-para-disfrutar-ixtapan-de-la-sal-mexico-28804405
Estado De Mexico,24,,"$45,500,000 MXN","Se vende casa en Condesa, Gral Vicente Villada, Cdad. Nezahualcóyotl, Méx. #340, Col. General José Vicente Villada, Nezahualcóyotl, México, México, C.P. 57710, ID: 30784049",3 Recámaras | 2 Baños | 200 m 2,https://propiedades.com/inmuebles/casa-en-venta-condesa-gral-vicente-villada-cdad-nezahualcoyotl-mex-340-general-jose-vicente-villada-mexico-30784049
Estado De Mexico,24,,"$4,500,000 MXN","Casa disponible en venta en Del Herradero #56, Col. Villas de la Hacienda, Atizapán de Zaragoza, México, México, C.P. 52929, ID: 30206233",4 Recámaras | 2 Baños | 190 m 2,https://propiedades.com/inmuebles/casa-en-venta-del-herradero-56-villas-de-la-hacienda-mexico-30206233
Estado De Mexico,24,,"$7,500,000 MXN","Casa disponible en venta en Tulias 74, Lomas de San Mateo, 53200 Naucalpan de Juárez, Méx. #74, Col. Lomas de San Mateo, Naucalpan de Juárez, México, México, C.P. 53200, ID: 30230366",3 Recámaras | 2 Baños | 340 m 2,https://propiedades.com/inmuebles/casa-en-venta-tulias-74-lomas-de-san-mateo-53200-naucalpan-de-juarez-mex-74-lomas-de-san-mateo-mexico-30230366
Estado De Mexico,24,,"$4,800,000 MXN","Venta de casa 16 de septiembre #s/n, Col. San Jerónimo Chicahualco, Metepec, México, México, C.P. 52170, ID: 30208224",8 Recámaras | 2 Baños | 354 m 2,https://propiedades.com/inmuebles/casa-en-venta-16-de-septiembre-sn-san-jeronimo-chicahualco-mexico-30208224
Estado De Mexico,24,,"$11,900,000 MXN","Venta de casa en , Col. San Antonio, Valle de Bravo, México, México, C.P. 51200, ID: 28773858",4 Recámaras | 5 Baños | 500 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-antonio-mexico-28773858
Estado De Mexico,24,,"$4,600,000 MXN","Venta casa en Cerro del Chapulin, Col. Rincón del Valle, Tlalnepantla de Baz, México, México, C.P. 54040, ID: 28854482",5 Recámaras | 4 Baños | 283 m 2,https://propiedades.com/inmuebles/casa-en-venta-cerro-del-chapulin-rincon-del-valle-mexico-28854482
Estado De Mexico,24,,"$10,000,000 MXN","Se vende casa en , Col. La Atalaya, Naucalpan de Juárez, México, México, C.P. 53200, ID: 27628658",3 Recámaras | 3 Baños | 371 m 2,https://propiedades.com/inmuebles/casa-en-venta-la-atalaya-mexico-27628658
Estado De Mexico,24,,"$13,000,000 MXN","Casa en venta, Calimaya #s/n, Col. Residencial Rancho el Mesón, Calimaya, México, México, C.P. 52226, ID: 30185988",4 Recámaras | 5 Baños | 407 m 2,https://propiedades.com/inmuebles/casa-en-venta-calimaya-sn-residencial-rancho-el-meson-mexico-30185988
Estado De Mexico,24,,"$14,600,000 MXN","Casa disponible en venta en Bosque de Sándalo, Col. Bosque Esmeralda, Atizapán de Zaragoza, México, México, C.P. 52930, ID: 28317381",6 Recámaras | 6 Baños | 535 m 2,https://propiedades.com/inmuebles/casa-en-venta-bosque-de-sandalo-bosque-esmeralda-mexico-28317381
Estado De Mexico,24,,"$4,310,331 MXN","Col. San Jerónimo Tepetlacalco, Tlalnepantla de Baz, México, México, C.P. 54090, ID: 29942266",3 Recámaras | 2 Baños | 129 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-jeronimo-tepetlacalco-mexico-29942266
Estado De Mexico,24,,"$12,500,000 MXN","Venta de casa Circuito Historiadores, Col. Ciudad Satélite, Naucalpan de Juárez, México, México, C.P. 53100, ID: 28532571",5 Recámaras | 3 Baños | 372 m 2,https://propiedades.com/inmuebles/casa-en-venta-circuito-historiadores-ciudad-satelite-mexico-28532571
Estado De Mexico,24,,"$995,000 MXN","Casa disponible en venta en Huehuetoca, Méx., Col. CITARA, Huehuetoca, México, México, C.P. 54696, ID: 30382290",3 Recámaras | 1 Baño | 67 m 2,https://propiedades.com/inmuebles/casa-en-venta-huehuetoca-mex-citara-mexico-30382290
