Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Baja California,37,,"$860,000 MXN","Casa disponible en venta en La Fuente 40 #40, Col. La Fuente, Playas de Rosarito, Baja California, México, C.P. 22703, ID: 28569313",4 Recámaras | 3 Baños | 210 m 2,https://propiedades.com/inmuebles/casa-en-venta-la-fuente-40-40-la-fuente-baja_california-28569313
Baja California,37,,"$1,340,000 MXN","Casa en venta, AVE SURESTE #1, Col. Pórticos de San Antonio, Tijuana, Baja California, México, C.P. 22666, ID: 29997256",2 Recámaras | 1 Baño | 46 m 2,https://propiedades.com/inmuebles/casa-en-venta-ave-sureste-1-porticos-de-san-antonio-baja_california-29997256
Baja California,37,,"$130,000 USD","Av. Aguila Pescadora, Baja Maq el Aguila, 22215 Tijuana, B.C. #19309Int. 18, Col. Presidentes, Tijuana, Baja California, México, C.P. 22215, ID: 30473405",2 Recámaras | 1 Baño,https://propiedades.com/inmuebles/casa-en-venta-av-aguila-pescadora-baja-maq-el-aguila-22215-tijuana-bc-19309-presidentes-baja_california-30473405
Baja California,37,,"$5,500,000 MXN","Venta casa en Blvd. Valparaiso, 22663 Tijuana, B.C., Col. Valparaíso Residencial, Tijuana, Baja California, México, C.P. 22663, ID: 30517579",5 Recámaras | 3 Baños | 168 m 2,https://propiedades.com/inmuebles/casa-en-venta-blvd-valparaiso-22663-tijuana-bc-valparaiso-residencial-baja_california-30517579
Baja California,37,,"$4,400,000 MXN","Se vende casa en Verona #0000, Col. Verona, Mexicali, Baja California, México, C.P. 21376, ID: 29765164",3 Recámaras | 2 Baños | 166 m 2,https://propiedades.com/inmuebles/casa-en-venta-verona-0000-verona-baja_california-29765164
Baja California,37,,"$700,000 MXN","Venta de casa en Av Del Bosque, Jardines de Chapultepec S-E, Tijuana, B.C., Col. Cañón Oasis, Tijuana, Baja California, México, C.P. 22034, ID: 30518653",5 Recámaras | 3 Baños | 415 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-del-bosque-jardines-de-chapultepec-se-tijuana-bc-canon-oasis-baja_california-30518653
Baja California,37,,"$4,200,000 MXN","Se vende casa en El Sauce 22244 #22244, Col. El Florido III, Tijuana, Baja California, México, C.P. 22237, ID: 29696424",3 Recámaras | 2 Baños | 105 m 2,https://propiedades.com/inmuebles/casa-en-venta-el-sauce-22244-22244-el-florido-iii-baja_california-29696424
Baja California,37,,"$11,485,000 MXN","Casa en venta, hacienda agua caliente, Col. Hacienda Agua Caliente, Tijuana, Baja California, México, C.P. 22030, ID: 28823503",4 Recámaras | 4 Baños | 169 m 2,https://propiedades.com/inmuebles/casa-en-venta-hacienda-agua-caliente-hacienda-agua-caliente-baja_california-28823503
Baja California,37,,"$422,640 MXN","Casa disponible en venta en Calle Ariel 372 #s/n, Col. Villas del Sol, Ensenada, Baja California, México, C.P. 22813, ID: 29967604",2 Recámaras | 1 Baño | 67 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-ariel-372-sn-villas-del-sol-baja_california-29967604
Baja California,37,,"$420,000 USD","Se vende casa en Cto. Real Mediterraneo 8531 km 18.4, Autop. Escénica Tijuana-Ensenada, Punta Bandera, 22550 Tijuana,, Col. Punta del Mar, Tijuana, Baja California, México, C.P. 22550, ID: 30683369",3 Recámaras | 2 Baños | 141 m 2,https://propiedades.com/inmuebles/casa-en-venta-cto-real-mediterraneo-8531-km-184-autop-escenica-tijuanaensenada-punta-bandera-22550-tijuana-punta-del-mar-baja_california-30683369
Baja California,37,,"$2,990,000 MXN","Casa disponible en venta en Real de San Antonio 5743, Porticos De San Antonio, 22666 Tijuana, B.C. #5743, Col. Las Villas Santa Fe, Tijuana, Baja California, México, C.P. 22666, ID: 30358182",3 Recámaras | 2 Baños | 95 m 2,https://propiedades.com/inmuebles/casa-en-venta-real-de-san-antonio-5743-porticos-de-san-antonio-22666-tijuana-bc-5743-las-villas-santa-fe-baja_california-30358182
Baja California,37,,"$2,800,000 MXN","Venta casa en Villa del Real I, 22205 Tijuana, B.C., Col. Villa del Real IV, Tijuana, Baja California, México, C.P. 22205, ID: 30246577",3 Recámaras | 1 Baño,https://propiedades.com/inmuebles/casa-en-venta-villa-del-real-i-22205-tijuana-bc-villa-del-real-iv-baja_california-30246577
Baja California,37,,"$2,200,200 MXN","Venta casa en Los sauces santa fé, Col. Santa Fe, Tijuana, Baja California, México, C.P. 22334, ID: 27821397",3 Recámaras | 2 Baños,https://propiedades.com/inmuebles/casa-en-venta-los-sauces-santa-fe-santa-fe-baja_california-27821397
Baja California,37,,"$6,066,000 MXN","Venta de casa en Blvrd San Marino Km 23.5, Residencial San Marino 2da. Secc, 22567 Tijuana, B.C., Col. Residencial San Marino, Tijuana, Baja California, México, C.P. 22567, ID: 30553848",3 Recámaras | 2 Baños,https://propiedades.com/inmuebles/casa-en-venta-blvrd-san-marino-km-235-residencial-san-marino-2da-secc-22567-tijuana-bc-residencial-san-marino-baja_california-30553848
Baja California,37,,"$5,000,000 MXN","Casa en venta disponible en LA PERLA #116, Col. Los Álamos, Tijuana, Baja California, México, C.P. 22110, ID: 29052567",3 Recámaras | 2 Baños | 200 m 2,https://propiedades.com/inmuebles/casa-en-venta-la-perla-116-los-alamos-baja_california-29052567
Baja California,37,,"$1,699,000 MXN","Se vende casa en Avel, Col. Villa Lomas Altas, Mexicali, Baja California, México, C.P. 21355, ID: 30077079",2 Recámaras | 1 Baño | 65 m 2,https://propiedades.com/inmuebles/casa-en-venta-avel-villa-lomas-altas-baja_california-30077079
Baja California,37,,"$660,000 MXN","Casa disponible en venta en C. Hierro, Vista Hermosa, Ensenada, B.C., Col. Vista Hermosa, Ensenada, Baja California, México, C.P. 22812, ID: 30490214",2 Recámaras | 2 Baños | 160 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-hierro-vista-hermosa-ensenada-bc-vista-hermosa-baja_california-30490214
Baja California,37,,"$600,000 USD","Casa en venta, Avenida Miguel Aleman 349 #349, Col. Chapultepec, Ensenada, Baja California, México, C.P. 22870, ID: 29981218",5 Recámaras | 5 Baños | 390 m 2,https://propiedades.com/inmuebles/casa-en-venta-avenida-miguel-aleman-349-349-chapultepec-baja_california-29981218
Baja California,37,,"$2,600,000 MXN","Venta de casa en Natura, Natura Seccion Bosques, 22165 Tijuana, B.C., Col. Natura Sección Bosques, Tijuana, Baja California, México, C.P. 22165, ID: 30220139",3 Recámaras | 1 Baño | 98 m 2,https://propiedades.com/inmuebles/casa-en-venta-natura-natura-seccion-bosques-22165-tijuana-bc-natura-seccion-bosques-baja_california-30220139
Baja California,38,,"$5,750,000 MXN","Casa disponible en venta en cuerva #s/n, Col. Villa Toledo, Mexicali, Baja California, México, C.P. 21395, ID: 30162810",3 Recámaras | 2 Baños | 256 m 2,https://propiedades.com/inmuebles/casa-en-venta-cuerva-sn-villa-toledo-baja_california-30162810
Baja California,38,,"$1,500,000 MXN","Casa en venta disponible en Santa Fe, Col. Santa Fe, Tijuana, Baja California, México, C.P. 22117, ID: 30012423",2 Recámaras | 1 Baño,https://propiedades.com/inmuebles/casa-en-venta-santa-fe-santa-fe-baja_california-30012423
Baja California,38,,"$4,000,000 MXN","Se vende casa C. 13 Nte., Playas de Chapultepec, 22785 Ensenada, B.C., Col. Playas de Chapultepec, Ensenada, Baja California, México, C.P. 22785, ID: 30246197",4 Recámaras | 3 Baños | 158 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-13-nte-playas-de-chapultepec-22785-ensenada-bc-playas-de-chapultepec-baja_california-30246197
Baja California,38,,"$9,595,000 MXN","Casa disponible en venta en Calz. Cetys & C. Cuarta, Residencial Veredas del Sol, 21225 Mexicali, B.C. #s/n, Col. Calzada, Mexicali, Baja California, México, C.P. 21225, ID: 30347421",4 Recámaras | 4 Baños | 290 m 2,https://propiedades.com/inmuebles/casa-en-venta-calz-cetys-c-cuarta-residencial-veredas-del-sol-21225-mexicali-bc-sn-calzada-baja_california-30347421
Baja California,38,,"$4,000,000 MXN","Se vende casa C. 13, Playas de Chapultepec, 22785 Ensenada, B.C. #s/n, Col. Playas de Chapultepec, Ensenada, Baja California, México, C.P. 22785, ID: 30622723",4 Recámaras | 3 Baños | 158 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-13-playas-de-chapultepec-22785-ensenada-bc-sn-playas-de-chapultepec-baja_california-30622723
