Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Hidalgo,37,,"$1,200,000 MXN","Se vende casa Aquiles Serdán, Col. Nueva Santa María, Zapotlán de Juárez, Hidalgo, México, C.P. 42190, ID: 30336271",2 Recámaras | 2 Baños | 109 m 2,https://propiedades.com/inmuebles/casa-en-venta-aquiles-serdan-nueva-santa-maria-hidalgo-30336271
Hidalgo,37,,"$1,050,000 MXN","Venta casa en , Col. Santiago Tulaltepc Centro, Santiago Tulantepec de Lugo Guerrero, Hidalgo, México, C.P. 43760, ID: 30888623",2 Recámaras | 1 Baño | 85 m 2,https://propiedades.com/inmuebles/casa-en-venta-santiago-tulaltepc-centro-hidalgo-30888623
Hidalgo,37,,"$8,600,000 MXN","Se vende casa en 16 de Septiembre, Col. Zapotlán de Juárez Centro, Zapotlán de Juárez, Hidalgo, México, C.P. 42190, ID: 30270892",3 Recámaras | 2 Baños | 280 m 2,https://propiedades.com/inmuebles/casa-en-venta-16-de-septiembre-zapotlan-de-juarez-centro-hidalgo-30270892
Hidalgo,37,,"$990,000 MXN","Casa disponible en venta en , Col. Tulancingo, Tulancingo de Bravo, Hidalgo, México, C.P. 43647, ID: 30727946",3 Recámaras | 2 Baños | 70 m 2,https://propiedades.com/inmuebles/casa-en-venta-tulancingo-hidalgo-30727946
Hidalgo,37,,"$6,400,000 MXN",", Col. Valle del Sol, Pachuca de Soto, Hidalgo, México, C.P. 42082, ID: 30804685",4 Recámaras | 5 Baños | 341 m 2,https://propiedades.com/inmuebles/casa-en-venta-valle-del-sol-hidalgo-30804685
Hidalgo,37,,"$1,650,000 MXN","Venta de casa en Nopalillo, Col. La Loma Metepec, Metepec, Hidalgo, México, C.P. 43400, ID: 28418355",2 Recámaras | 2 Baños | 147 m 2,https://propiedades.com/inmuebles/casa-en-venta-nopalillo-la-loma-metepec-hidalgo-28418355
Hidalgo,37,,"$2,950,000 MXN","Se vende casa en , Col. Villas Miguel Ángel, Pachuca de Soto, Hidalgo, México, C.P. 42075, ID: 29692422",3 Recámaras | 4 Baños | 165 m 2,https://propiedades.com/inmuebles/casa-en-venta-villas-miguel-angel-hidalgo-29692422
Hidalgo,37,,"$2,250,000 MXN","Casa disponible en venta en Alcatraz, Col. Privada Santa Mónica, Mineral de la Reforma, Hidalgo, México, C.P. 42186, ID: 29225438",3 Recámaras | 2 Baños | 162 m 2,https://propiedades.com/inmuebles/casa-en-venta-alcatraz-privada-santa-monica-hidalgo-29225438
Hidalgo,37,,"$1,699,000 MXN","Venta casa en , Col. Tolcayuca Centro, Tolcayuca, Hidalgo, México, C.P. 43860, ID: 30878891",3 Recámaras | 1 Baño | 120 m 2,https://propiedades.com/inmuebles/casa-en-venta-tolcayuca-centro-hidalgo-30878891
Hidalgo,37,,"$1,750,000 MXN","Casa disponible en venta en Privada Valle Turquesa #s/n, Col. Privada Santa Prisca, Pachuca de Soto, Hidalgo, México, C.P. 42083, ID: 30892625",3 Recámaras | 2 Baños | 99 m 2,https://propiedades.com/inmuebles/casa-en-venta-privada-valle-turquesa-sn-privada-santa-prisca-hidalgo-30892625
Hidalgo,37,,"$1,400,000 MXN","Se vende casa en C. Sta. Yessica, 42186 San Luis II, Hgo., Col. San Luis II, Mineral de la Reforma, Hidalgo, México, C.P. 42186, ID: 30864150",3 Recámaras | 2 Baños | 91 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-sta-yessica-42186-san-luis-ii-hgo-san-luis-ii-hidalgo-30864150
Hidalgo,37,,"$970,000 MXN","Se vende casa en Real Navarra, Col. Santa Matílde, Pachuca de Soto, Hidalgo, México, C.P. 42119, ID: 28790667",2 Recámaras | 1 Baño | 40 m 2,https://propiedades.com/inmuebles/casa-en-venta-real-navarra-santa-matilde-hidalgo-28790667
Hidalgo,37,,"$2,600,000 MXN","Bulevar paseo de los viñedos #100Int. 110, Col. Los Viñedos, Zempoala, Hidalgo, México, C.P. 43845, ID: 30696647",3 Recámaras | 3 Baños | 156 m 2,https://propiedades.com/inmuebles/casa-en-venta-bulevar-paseo-de-los-vinedos--100-los-vinedos-hidalgo-30696647
Hidalgo,37,,"$470,000 MXN",", Col. Paseos de Chavarria, Mineral de la Reforma, Hidalgo, México, C.P. 42186, ID: 30298131",2 Recámaras | 1 Baño | 62 m 2,https://propiedades.com/inmuebles/casa-en-venta-paseos-de-chavarria-hidalgo-30298131
Hidalgo,37,,"$1,325,000 MXN","Se vende casa Sin nombre de calle, Col. Fuentes de Tizayuca, Tizayuca, Hidalgo, México, C.P. 43816, ID: 30725222",3 Recámaras | 2 Baños | 67 m 2,https://propiedades.com/inmuebles/casa-en-venta-sin-nombre-de-calle-fuentes-de-tizayuca-hidalgo-30725222
Hidalgo,37,,"$3,200,000 MXN","Se vende casa Hacienda el Palmar #300, Col. Hacienda la Herradura, Pachuca de Soto, Hidalgo, México, C.P. 42082, ID: 30754271",4 Recámaras | 3 Baños | 190 m 2,https://propiedades.com/inmuebles/casa-en-venta-hacienda-el-palmar-300-hacienda-la-herradura-hidalgo-30754271
Hidalgo,37,,"$8,000,000 MXN","Venta casa en Centro, Col. Centro, Zimapán, Hidalgo, México, C.P. 42330, ID: 28961031",3 Recámaras | 3 Baños | 400 m 2,https://propiedades.com/inmuebles/casa-en-venta-centro-centro-hidalgo-28961031
Hidalgo,37,,"$980,274 MXN","Casa en venta, Sin nombre de calle, Col. Fuentes de Tizayuca, Tizayuca, Hidalgo, México, C.P. 43816, ID: 30725218",2 Recámaras | 2 Baños | 45 m 2,https://propiedades.com/inmuebles/casa-en-venta-sin-nombre-de-calle-fuentes-de-tizayuca-hidalgo-30725218
Hidalgo,37,,"$10,000,000 MXN","Casa en venta disponible en Morelos e Ignacio Zaragoza #108, Col. Mineral del Chico Centro, Mineral del Chico, Hidalgo, México, C.P. 42120, ID: 30149592",2 Recámaras | 2 Baños | 130 m 2,https://propiedades.com/inmuebles/casa-en-venta-morelos-e-ignacio-zaragoza-108-mineral-del-chico-centro-hidalgo-30149592
Hidalgo,37,,"$5,000,000 MXN","Yextho #100, Col. Villas de la Concepción, San Agustín Tlaxiaca, Hidalgo, México, C.P. 42162, ID: 28326221",4 Recámaras | 3 Baños | 270 m 2,https://propiedades.com/inmuebles/casa-en-venta-yextho-100-villas-de-la-concepcion-hidalgo-28326221
Hidalgo,37,,"$4,200,000 MXN","Col. Santa Bárbara, Emiliano Zapata, Hidalgo, México, C.P. 43961, ID: 30505661",3 Recámaras | 2 Baños | 440 m 2,https://propiedades.com/inmuebles/casa-en-venta-santa-barbara-hidalgo-30505661
Hidalgo,37,,"$14,000,000 MXN","Venta casa en SANTA ANA, Col. Santa Ana Azcapotzaltongo, Tepeji del Río de Ocampo, Hidalgo, México, C.P. 42860, ID: 30003945",5 Recámaras | 5 Baños | 423 m 2,https://propiedades.com/inmuebles/casa-en-venta-santa-ana-santa-ana-azcapotzaltongo-hidalgo-30003945
Hidalgo,37,,"$4,750,000 MXN","Se vende casa Col. Arboledas de San Javier, Pachuca de Soto, Hidalgo, México, C.P. 42084, ID: 30841506",3 Recámaras | 2 Baños | 228 m 2,https://propiedades.com/inmuebles/casa-en-venta-arboledas-de-san-javier-hidalgo-30841506
