ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2016,Veracruz de Ignacio de la Llave,Ixtaczoquitlán,U3,Horizontal,98,085,30
2016,Guanajuato,León,FC,Horizontal,932,020,11
2015,Ciudad de México,Álvaro Obregón,U2,Vertical,136,010,09
2016,Veracruz de Ignacio de la Llave,Tuxpan,U3,Horizontal,78,189,30
2017,Baja California,Tijuana,U1,Vertical,593,004,02
2016,San Luis Potosí,Axtla de Terrazas,FC,Horizontal,17,053,24
2015,Hidalgo,Tizayuca,U1,Vertical,16,069,13
2017,Nuevo León,Apodaca,U3,Horizontal,1151,006,19
2015,Jalisco,Guadalajara,U2,Horizontal,105,039,14
2015,Ciudad de México,Iztacalco,U1,Vertical,1130,006,09
2015,Coahuila de Zaragoza,Arteaga,U3,Horizontal,25,004,05
2017,Chiapas,Tapachula,FC,Vertical,174,089,07
2016,Tlaxcala,Xaloztoc,U1,Vertical,10,039,29
2015,Jalisco,Zapopan,U2,Horizontal,457,120,14
2017,Coahuila de Zaragoza,Francisco I. Madero,U2,Horizontal,2,009,05
2017,Tlaxcala,Ixtacuixtla de Mariano Matamoros,U2,Horizontal,3,015,29
2015,Jalisco,Arandas,FC,Horizontal,4,008,14
2017,Guanajuato,Irapuato,U3,Vertical,495,017,11
2015,Yucatán,Kanasín,U2,Vertical,9,041,31
2017,Veracruz de Ignacio de la Llave,Tantoyuca,FC,Horizontal,1,155,30
2016,Coahuila de Zaragoza,Ramos Arizpe,U3,Horizontal,51,027,05
2016,Sonora,Agua Prieta,U3,Horizontal,20,002,26
2015,Chiapas,Huixtla,U3,Horizontal,4,040,07
2017,México,Nezahualcóyotl,U2,Horizontal,2,058,15
2017,Yucatán,Ticul,FC,Horizontal,3,089,31
2015,Sinaloa,Mazatlán,U1,Horizontal,78,012,25
2017,Puebla,Huejotzingo,U2,Vertical,96,074,21
2016,Querétaro,Corregidora,U3,Horizontal,227,006,22
2017,Jalisco,Lagos de Moreno,U3,Horizontal,480,053,14
2017,Guanajuato,Apaseo el Grande,FC,Vertical,144,005,11
2017,San Luis Potosí,Soledad de Graciano Sánchez,U3,Vertical,48,035,24
2017,Jalisco,Zapopan,U3,Vertical,2777,120,14
2016,Jalisco,Puerto Vallarta,FC,Vertical,150,067,14
2016,Guanajuato,León,U2,Horizontal,3402,020,11
2016,Aguascalientes,Aguascalientes,U2,Vertical,397,001,01
2017,San Luis Potosí,Ciudad Fernández,U2,Horizontal,1,011,24
2015,San Luis Potosí,Soledad de Graciano Sánchez,FC,Horizontal,17,035,24
2015,Jalisco,Lagos de Moreno,U1,Horizontal,17,053,14
2016,Veracruz de Ignacio de la Llave,Veracruz,FC,Vertical,114,193,30
2015,Hidalgo,Tizayuca,FC,Horizontal,694,069,13
2017,Coahuila de Zaragoza,Acuña,U2,Horizontal,693,002,05
2016,México,San Martín de las Pirámides,U1,Horizontal,8,075,15
2015,Yucatán,Chocholá,FC,Horizontal,3,023,31
2017,Oaxaca,Oaxaca de Juárez,U2,Horizontal,1,067,20
2015,Sinaloa,Guasave,U2,Horizontal,573,011,25
2016,Michoacán de Ocampo,Marcos Castellanos,FC,Horizontal,2,051,16
2015,Querétaro,San Juan del Río,FC,Horizontal,1,016,22
2015,Coahuila de Zaragoza,Arteaga,U1,Horizontal,80,004,05
2016,Puebla,San Andrés Cholula,U1,Horizontal,20,119,21
2015,Chihuahua,Delicias,U2,Horizontal,395,021,08
2016,Veracruz de Ignacio de la Llave,Fortín,U3,Horizontal,26,068,30
2016,México,Tecámac,U2,Horizontal,2181,081,15
2015,México,Almoloya de Juárez,U2,Horizontal,219,005,15
2016,Tlaxcala,Apizaco,U3,Horizontal,1,005,29
2017,Sonora,Guaymas,FC,Horizontal,66,029,26
2017,Coahuila de Zaragoza,Sabinas,U2,Horizontal,59,028,05
2015,San Luis Potosí,Axtla de Terrazas,FC,Horizontal,14,053,24
2015,Querétaro,Querétaro,U2,Horizontal,3716,014,22
2015,Guerrero,Chilpancingo de los Bravo,U2,Vertical,10,029,12
2016,Jalisco,Tepatitlán de Morelos,U1,Horizontal,6,093,14
2015,Chiapas,Tapachula,U3,Horizontal,75,089,07
2016,Morelos,Yecapixtla,U2,Horizontal,15,030,17
2015,Tabasco,Paraíso,U2,Horizontal,9,014,27
2015,Veracruz de Ignacio de la Llave,Coatzacoalcos,U3,Horizontal,140,039,30
2017,Puebla,Chignahuapan,U3,Horizontal,16,053,21
2015,Nuevo León,Cadereyta Jiménez,U1,Horizontal,34,009,19
2015,Veracruz de Ignacio de la Llave,Ixtaczoquitlán,U3,Horizontal,139,085,30
2017,Puebla,San Martín Texmelucan,U2,Horizontal,19,132,21
2015,Hidalgo,Cuautepec de Hinojosa,U3,Horizontal,68,016,13
2015,Oaxaca,Tlacolula de Matamoros,FC,Vertical,108,551,20
2015,México,Metepec,U2,Horizontal,1,054,15
2016,Hidalgo,Tizayuca,U1,Horizontal,1431,069,13
2016,Tabasco,Centro,FC,Horizontal,44,004,27
2015,Sonora,Hermosillo,U1,Horizontal,132,030,26
2017,San Luis Potosí,Soledad de Graciano Sánchez,U2,Horizontal,467,035,24
2015,Guanajuato,Silao de la Victoria,U2,Horizontal,277,037,11
2015,Tlaxcala,Xaloztoc,U1,Horizontal,10,039,29
2015,Zacatecas,Jerez,U2,Horizontal,31,020,32
2016,Morelos,Yecapixtla,U3,Horizontal,96,030,17
2016,Tamaulipas,Río Bravo,U2,Horizontal,132,033,28
2015,Coahuila de Zaragoza,San Buenaventura,U2,Horizontal,39,031,05
2016,Nuevo León,Juárez,U3,Horizontal,627,031,19
2017,Yucatán,Acanceh,FC,Horizontal,2,002,31
2015,Hidalgo,Tulancingo de Bravo,U1,Horizontal,21,077,13
2016,Colima,Armería,U1,Horizontal,8,001,06
