ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2017,Coahuila de Zaragoza,Matamoros,U2,Horizontal,93,017,05
2017,Michoacán de Ocampo,Tarímbaro,U3,Vertical,15,088,16
2017,Tabasco,Centro,FC,Vertical,836,004,27
2017,Veracruz de Ignacio de la Llave,Xalapa,U1,Vertical,1,087,30
2017,Durango,Durango,FC,Vertical,183,005,10
2016,Guerrero,Acapulco de Juárez,U1,Vertical,154,001,12
2015,Hidalgo,Mineral de la Reforma,FC,Horizontal,393,051,13
2016,Guanajuato,León,U3,Horizontal,453,020,11
2016,Morelos,Temixco,U2,Vertical,278,018,17
2016,Sinaloa,Guasave,U2,Horizontal,364,011,25
2017,Michoacán de Ocampo,Zamora,U2,Vertical,48,108,16
2016,Jalisco,El Grullo,FC,Horizontal,4,037,14
2017,Sinaloa,Culiacán,FC,Vertical,1,006,25
2015,Nayarit,Bahía de Banderas,U2,Horizontal,830,020,18
2015,Oaxaca,Santo Domingo Tehuantepec,FC,Horizontal,1,515,20
2017,Michoacán de Ocampo,Zitácuaro,U2,Horizontal,15,112,16
2017,Querétaro,Querétaro,U2,Horizontal,1897,014,22
2015,Durango,Santiago Papasquiaro,U2,Horizontal,6,032,10
2015,México,Lerma,U2,Horizontal,452,051,15
2015,Querétaro,El Marqués,U2,Horizontal,1278,011,22
2016,Yucatán,Mérida,U3,Horizontal,389,050,31
2017,Jalisco,Zapotlán el Grande,U1,Horizontal,81,023,14
2016,Aguascalientes,Jesús María,U3,Horizontal,302,005,01
2017,Morelos,Yautepec,U2,Horizontal,88,029,17
2017,Michoacán de Ocampo,Jiquilpan,U3,Horizontal,16,045,16
2017,Nayarit,Bahía de Banderas,U3,Vertical,30,020,18
2016,Puebla,Cuautlancingo,U2,Vertical,136,041,21
2017,Michoacán de Ocampo,Ario,U2,Horizontal,1,009,16
2017,Tabasco,Nacajuca,U3,Horizontal,20,013,27
2015,Morelos,Cuernavaca,U2,Horizontal,1,007,17
2015,Querétaro,Tequisquiapan,FC,Horizontal,7,017,22
2016,Zacatecas,Fresnillo,U2,Horizontal,77,010,32
2016,Coahuila de Zaragoza,San Pedro,U2,Horizontal,56,033,05
2016,Tabasco,Teapa,U1,Horizontal,1,016,27
2016,Puebla,Chalchicomula de Sesma,FC,Horizontal,30,045,21
2015,Oaxaca,Santa María Atzompa,U3,Vertical,64,399,20
2016,San Luis Potosí,Ciudad Valles,U1,Horizontal,16,013,24
2015,Nuevo León,Guadalupe,U2,Horizontal,93,026,19
2016,Zacatecas,Fresnillo,U3,Horizontal,1,010,32
2016,Chihuahua,Aquiles Serdán,U3,Horizontal,3,004,08
2017,Tlaxcala,Xaloztoc,U1,Vertical,20,039,29
2017,Hidalgo,Tepeji del Río de Ocampo,U2,Horizontal,12,063,13
2016,Guanajuato,León,FC,Horizontal,273,020,11
2016,Jalisco,Zapotiltic,U2,Horizontal,35,121,14
2016,Veracruz de Ignacio de la Llave,Tuxpan,U3,Horizontal,90,189,30
2017,Baja California,Tijuana,U1,Vertical,39,004,02
