ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2017,Puebla,Teziutlán,U1,Horizontal,106,174,21
2017,Puebla,Cuautlancingo,U1,Horizontal,335,041,21
2016,Guanajuato,Acámbaro,U2,Horizontal,11,002,11
2016,Michoacán de Ocampo,Gabriel Zamora,FC,Horizontal,1,033,16
2016,Oaxaca,Santa Cruz Xoxocotlán,U2,Vertical,80,385,20
2017,Chihuahua,Guachochi,U3,Horizontal,11,027,08
2017,Yucatán,Mérida,FC,Horizontal,32,050,31
2017,Tabasco,Emiliano Zapata,U3,Horizontal,1,007,27
2017,Michoacán de Ocampo,Morelia,FC,Horizontal,62,053,16
2015,Aguascalientes,Jesús María,U2,Horizontal,23,005,01
2016,Sonora,Magdalena,U2,Horizontal,16,036,26
2015,Coahuila de Zaragoza,Acuña,U2,Horizontal,807,002,05
2015,Veracruz de Ignacio de la Llave,Córdoba,U3,Vertical,117,044,30
2016,Chiapas,Berriozábal,U1,Horizontal,7,012,07
2016,Nayarit,Santiago Ixcuintla,FC,Horizontal,4,015,18
2016,México,La Paz,U2,Horizontal,1,070,15
2015,Colima,Tecomán,U2,Horizontal,3,009,06
2015,Michoacán de Ocampo,La Piedad,U1,Horizontal,12,069,16
2015,Tamaulipas,Reynosa,U2,Vertical,486,032,28
2017,Chihuahua,Delicias,U3,Horizontal,59,021,08
2015,Baja California Sur,Los Cabos,U2,Vertical,366,008,03
2015,Chihuahua,Nuevo Casas Grandes,U2,Horizontal,334,050,08
2015,Veracruz de Ignacio de la Llave,Coatzintla,FC,Vertical,124,040,30
2015,Veracruz de Ignacio de la Llave,Córdoba,U3,Horizontal,8,044,30
2017,Aguascalientes,Rincón de Romos,U2,Horizontal,112,007,01
2015,Baja California,Tecate,U2,Horizontal,13,003,02
2017,Veracruz de Ignacio de la Llave,San Andrés Tuxtla,U2,Horizontal,43,141,30
2016,Chiapas,Tonalá,U2,Horizontal,41,097,07
2016,Durango,Durango,FC,Vertical,8,005,10
2015,Yucatán,Kanasín,U3,Horizontal,679,041,31
2017,México,Coacalco de Berriozábal,U2,Horizontal,132,020,15
2017,Sonora,Agua Prieta,U2,Horizontal,20,002,26
2016,Baja California Sur,Loreto,U1,Horizontal,1,009,03
2015,México,Toluca,U3,Horizontal,559,106,15
2017,Puebla,San Salvador el Verde,U3,Horizontal,3,143,21
2015,Tlaxcala,Zacatelco,U3,Horizontal,1,044,29
2016,Aguascalientes,Jesús María,U2,Horizontal,51,005,01
2016,Puebla,Huejotzingo,U2,Vertical,1128,074,21
2015,Nuevo León,Guadalupe,U1,Horizontal,148,026,19
2015,Puebla,Atlixco,U2,Horizontal,10,019,21
2016,Coahuila de Zaragoza,San Buenaventura,U2,Horizontal,14,031,05
2016,Veracruz de Ignacio de la Llave,Córdoba,FC,Vertical,12,044,30
2016,Baja California Sur,Comondú,U3,Horizontal,18,001,03
2017,Michoacán de Ocampo,Pátzcuaro,U2,Horizontal,14,066,16
2017,San Luis Potosí,Tamazunchale,U1,Horizontal,2,037,24
2017,Jalisco,Tuxpan,U2,Horizontal,6,108,14
2015,Puebla,Coronango,U3,Horizontal,15,034,21
2015,Veracruz de Ignacio de la Llave,Córdoba,FC,Vertical,156,044,30
2016,Jalisco,El Salto,U2,Vertical,1156,070,14
2015,Nayarit,Tepic,U2,Vertical,429,017,18
2017,Guerrero,Zihuatanejo de Azueta,U3,Vertical,16,038,12
2015,Sonora,General Plutarco Elías Calles,FC,Horizontal,18,070,26
2015,Michoacán de Ocampo,Jiquilpan,U3,Horizontal,27,045,16
2015,Michoacán de Ocampo,La Piedad,U2,Vertical,192,069,16
2017,Querétaro,Pedro Escobedo,FC,Horizontal,80,012,22
2017,Guanajuato,Celaya,U1,Horizontal,18,007,11
2015,Nuevo León,Santiago,U3,Horizontal,8,049,19
2016,Michoacán de Ocampo,Jiquilpan,U2,Horizontal,10,045,16
2017,Veracruz de Ignacio de la Llave,Huatusco,U2,Horizontal,1,071,30
2015,Oaxaca,Heroica Ciudad de Huajuapan de León,U2,Horizontal,3,039,20
2017,Hidalgo,Mineral de la Reforma,U1,Horizontal,4,051,13
2015,Sinaloa,Mazatlán,U2,Horizontal,1823,012,25
2017,Zacatecas,Sombrerete,U2,Horizontal,1,042,32
2016,Coahuila de Zaragoza,Torreón,U2,Vertical,144,035,05
2015,Guanajuato,León,FC,Horizontal,156,020,11
2015,Guanajuato,Cortazar,U3,Horizontal,20,011,11
2015,Michoacán de Ocampo,Sahuayo,U3,Horizontal,13,076,16
2015,Tabasco,Cárdenas,U2,Horizontal,2,002,27
2017,Veracruz de Ignacio de la Llave,Veracruz,U3,Vertical,660,193,30
2016,Morelos,Emiliano Zapata,U3,Vertical,122,008,17
2015,Sonora,Cajeme,U1,Horizontal,25,018,26
2016,Tlaxcala,Xaltocan,FC,Horizontal,1,040,29
2017,Nuevo León,Montemorelos,U2,Horizontal,175,038,19
2015,Morelos,Tlayacapan,FC,Horizontal,156,026,17
2016,Hidalgo,Santiago Tulantepec de Lugo Guerrero,U1,Horizontal,2,056,13
2017,Guerrero,Tixtla de Guerrero,FC,Horizontal,4,061,12
2015,Baja California,Tijuana,FC,Horizontal,6,004,02
2015,Jalisco,Chapala,U3,Horizontal,18,030,14
2015,Quintana Roo,Benito Juárez,U3,Vertical,727,005,23
2016,Sonora,Empalme,U2,Horizontal,19,025,26
2016,Coahuila de Zaragoza,Saltillo,U3,Horizontal,355,030,05
2016,Michoacán de Ocampo,Zamora,U2,Vertical,256,108,16
2016,Jalisco,Ameca,U3,Horizontal,8,006,14
